City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,luanda,-8.8368,13.2343,26.0,78,75,2.06,AO,1737436781
168,ilulissat,69.2167,-51.1,0.01,59,100,6.17,GL,1737436915
169,keflavik,64.0049,-22.5624,0.24,86,0,4.12,IS,1737436916
170,thinadhoo,0.5333,72.9333,28.0,75,75,4.55,MV,1737436917
171,al fashn,28.8243,30.8995,14.28,49,100,2.32,EG,1737436918
172,huambo,-12.7761,15.7392,15.89,94,100,3.09,AO,1737436919
173,taulaga,-11.0553,-171.0883,28.69,75,13,5.86,AS,1737436920
174,cabedelo,-6.9811,-34.8339,25.37,80,18,2.76,BR,1737436678
175,cartagena,10.3997,-75.5144,24.79,88,0,4.92,CO,1737436922
176,port hedland,-20.3167,118.5667,33.03,62,100,5.66,AU,1737436923
177,alice springs,-23.7,133.8833,41.75,8,0,6.69,AU,1737436757
178,remire-montjoly,4.9167,-52.2667,25.02,88,75,1.03,GF,1737436926
179,touros,-5.1989,-35.4608,25.79,77,0,2.52,BR,1737436927
180,laojunmiao,39.8333,97.7333,-0.72,25,86,1.69,CN,1737436928
181,vilyuchinsk,52.9306,158.4028,-3.85,80,2,4.02,RU,1737436929
182,barcelos,41.5388,-8.6151,12.39,95,99,2.84,PT,1737436930
183,pryamitsyno,51.6561,35.9314,-0.7,89,14,1.46,RU,1737436931
184,khandyga,62.6667,135.6,-19.31,98,100,0.42,RU,1737436932
185,karratha,-20.7377,116.8463,31.69,64,100,5.49,AU,1737436934
186,port elizabeth,-33.918,25.5701,20.17,89,100,5.14,ZA,1737436936
187,akureyri,65.6835,-18.0878,-0.04,80,75,0.51,IS,1737436937
188,tanumah,27.1,44.1333,10.16,37,3,4.27,SA,1737436938
189,lata,40.1629,-8.3327,14.16,98,100,1.51,PT,1737436939
190,mahibadhoo,3.7833,72.9667,27.69,75,50,4.51,MV,1737436940
191,phnom penh,11.5625,104.916,29.95,39,20,3.09,KH,1737436931
192,itaituba,-4.2761,-55.9836,22.77,97,100,0.6,BR,1737436943
193,callao,-12.0667,-77.15,22.07,83,0,4.12,PE,1737436883
194,whitehorse,60.7161,-135.0538,1.43,55,75,2.06,CA,1737436946
195,iskateley,67.6803,53.1512,-26.0,97,99,2.71,RU,1737436947
196,puerto deseado,-47.7503,-65.8938,12.89,88,100,8.23,AR,1737436948
197,ar rutbah,33.0381,40.2848,4.22,58,0,1.78,IQ,1737436949
198,belomorsk,64.5232,34.7668,-12.11,88,7,3.45,RU,1737436950
199,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,36,20,5.0,RU,1737436951
200,plettenberg bay,-34.0527,23.3716,19.42,84,100,6.01,ZA,1737436952
201,port mathurin,-19.6833,63.4167,26.32,71,11,7.4,MU,1737436953
202,uturoa,-16.7333,-151.4333,27.79,74,100,6.56,PF,1737436954
203,kabanjahe,3.1001,98.4908,26.03,56,64,1.5,ID,1737436955
204,dunedin,-45.8742,170.5036,16.68,63,100,1.73,NZ,1737436956
205,baikonur,45.6167,63.3167,0.52,96,100,9.0,KZ,1737436957
206,villa dolores,-31.9459,-65.1896,19.67,38,1,2.32,AR,1737436958
207,labrador city,52.9463,-66.9114,-28.79,63,75,5.66,CA,1737436960
208,pacasmayo,-7.4006,-79.5714,20.31,81,89,4.45,PE,1737436961
209,sassandra,4.95,-6.0833,25.06,88,60,2.03,CI,1737436962
210,yellowknife,62.456,-114.3525,-17.55,93,100,2.57,CA,1737436936
211,whangarei,-35.7317,174.3239,23.21,74,100,2.11,NZ,1737436964
212,naze,28.3667,129.4833,16.51,57,1,7.12,JP,1737436836
213,fomboni,-12.28,43.7425,28.03,77,83,6.4,KM,1737436966
214,lihue,21.9789,-159.3672,22.77,73,75,7.2,US,1737436967
215,chibougamau,49.9168,-74.3659,-37.21,74,0,1.03,CA,1737436968
216,shimoda,34.6667,138.95,10.74,70,99,4.66,JP,1737436969
217,rio preto da eva,-2.6994,-59.6997,22.47,92,100,0.88,BR,1737436971
218,kununurra,-15.7667,128.7333,37.99,44,82,1.54,AU,1737436869
219,los yebenes,39.5816,-3.8706,7.1,96,100,4.0,ES,1737436973
220,constitucion,-35.3333,-72.4167,14.89,95,73,3.2,CL,1737436687
221,al khafji,28.4391,48.4913,14.42,41,0,3.67,SA,1737436975
222,gadzhiyevo,69.2551,33.3362,-5.12,76,100,4.82,RU,1737436977
223,jurbarkas,55.0778,22.7664,1.56,86,100,3.47,LT,1737436978
224,santa sylvina,-27.8326,-61.1375,20.59,59,0,2.01,AR,1737436979
225,kitcharao,9.455,125.5731,27.89,85,100,4.03,PH,1737436980
226,hotan,37.0997,79.9269,0.55,32,0,1.62,CN,1737436981
227,broome,42.2506,-75.833,-13.52,68,0,5.14,US,1737436982
228,sorong,-0.8833,131.25,29.37,73,97,6.26,ID,1737436983
229,cabo san lucas,22.8909,-109.9124,18.75,64,46,4.07,MX,1737436985
230,macau,22.2006,113.5461,18.85,55,20,2.06,MO,1737436986
231,angren,41.0167,70.1436,4.31,67,99,2.8,UZ,1737436987
232,hermanus,-34.4187,19.2345,19.89,78,4,8.56,ZA,1737436988
